,name,ratings,review_count,ctype,years,hq,employees
2369,Ernst & Young,3.7,(8k Reviews),Private,21 years old,London + 80 more,10k-50k Employees (India)
2370,TCS,3.8,(59.5k Reviews),Public,55 years old,"Mumbai,Maharashtra + 276 more",1 Lakh+ Employees (India)
2371,Accenture,4.1,(38.1k Reviews),Public,34 years old,Dublin + 139 more,1 Lakh+ Employees (India)
2372,Cognizant,3.9,(34.7k Reviews),Private,29 years old,Teaneck. New Jersey. + 109 more,1 Lakh+ Employees (India)
2373,ICICI Bank,4.0,(28.4k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1150 more",1 Lakh+ Employees (India)
2374,Wipro,3.9,(28.1k Reviews),Public,78 years old,"Bangalore/Bengaluru,Karnataka + 235 more",1 Lakh+ Employees (India)
2375,HDFC Bank,3.9,(27.6k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1380 more",1 Lakh+ Employees (India)
2376,Infosys,3.9,(25.9k Reviews),Public,42 years old,"Bengaluru/Bangalore,Karnataka + 132 more",1 Lakh+ Employees (India)
2377,Capgemini,3.9,(24.3k Reviews),Public,56 years old,Paris + 81 more,1 Lakh+ Employees (India)
2378,Tech Mahindra,3.7,(22.7k Reviews),Public,37 years old,"Pune,Maharashtra + 221 more",1 Lakh+ Employees (India)
2379,Genpact,4.0,(22k Reviews),Public,26 years old,"New York,New York + 75 more",1 Lakh+ Employees (India)
2380,HCLTech,3.8,(21.5k Reviews),Public,32 years old,"Noida,Uttar Pradesh + 147 more",1 Lakh+ Employees (India)
2381,Axis Bank,3.9,(18.6k Reviews),Public,30 years old,"Mumbai,Maharashtra + 1194 more",50k-1 Lakh Employees (India)
2382,Concentrix Corpo...,4.0,(17.4k Reviews),Public,40 years old,"Fremont,California + 77 more",10k-50k Employees (India)
2383,IBM,4.1,(17.3k Reviews),Public,112 years old,"Armonk,New York + 127 more",50k-1 Lakh Employees (India)
2384,Reliance Jio,4.0,(16.8k Reviews),Public,16 years old,"Navi Mumbai,Maharashtra + 1056 more",50k-1 Lakh Employees (India)
2385,Amazon,4.2,(16.6k Reviews),Public,29 years old,"Seattle,Washington + 381 more",1 Lakh+ Employees (India)
2386,Larsen & Toubro ...,4.0,(16k Reviews),Public,85 years old,"Mumbai,Maharashtra + 558 more",1 Lakh+ Employees (India)
2387,HDB Financial Se...,4.0,(15.1k Reviews),Private,16 years old,"Ahmedabad,Gujrat + 859 more",10k-50k Employees (India)
2388,Reliance Retail,4.0,(14.1k Reviews),Private,17 years old,"Navi Mumbai,Maharashtra + 830 more",1 Lakh+ Employees (India)
2389,Vodafone Idea,4.2,(13.9k Reviews),Public,5 years old,"Gandhinagar,Gujrat + 589 more",10k-50k Employees (India)
2390,Teleperformance,3.6,(13.9k Reviews),Private,45 years old,Paris + 127 more,10k-50k Employees (India)
2391,Deloitte,4.0,(11.7k Reviews),Private,178 years old,"London,United Kingdom + 138 more",50k-1 Lakh Employees (India)
2392,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,20 years old,"Mumbai,Maharashtra + 500 more",10k-50k Employees (India)
2393,BYJU'S,3.2,(11.3k Reviews),Private,12 years old,"Bangalore,Karnataka + 282 more",1k-5k Employees (India)
2394,Reliance Industr...,4.0,(11k Reviews),Public,50 years old,"Navi Mumbai,Maharashtra + 557 more",1 Lakh+ Employees (Global)
2395,Bharti Airtel,4.1,(10.3k Reviews),Public,28 years old,"Gurgaon/Gurugram,Haryana + 570 more",10k-50k Employees (India)
2396,Tata Motors,4.2,(9.6k Reviews),Public,78 years old,"Pune,Maharashtra + 401 more",50k-1 Lakh Employees (India)
2397,Flipkart,4.1,(8.3k Reviews),Public,16 years old,"Bangalore,Karnataka + 481 more",10k-50k Employees (India)
2398,WNS,3.6,(8k Reviews),Private,27 years old,"Mumbai,Maharashtra + 25 more",10k-50k Employees (India)
2399,Ernst & Young,3.7,(8k Reviews),Private,21 years old,London + 80 more,10k-50k Employees (India)
2400,TCS,3.8,(59.5k Reviews),Public,55 years old,"Mumbai,Maharashtra + 276 more",1 Lakh+ Employees (India)
2401,Accenture,4.1,(38.1k Reviews),Public,34 years old,Dublin + 139 more,1 Lakh+ Employees (India)
2402,Cognizant,3.9,(34.7k Reviews),Private,29 years old,Teaneck. New Jersey. + 109 more,1 Lakh+ Employees (India)
2403,ICICI Bank,4.0,(28.4k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1150 more",1 Lakh+ Employees (India)
2404,Wipro,3.9,(28.1k Reviews),Public,78 years old,"Bangalore/Bengaluru,Karnataka + 235 more",1 Lakh+ Employees (India)
2405,HDFC Bank,3.9,(27.6k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1380 more",1 Lakh+ Employees (India)
2406,Infosys,3.9,(25.9k Reviews),Public,42 years old,"Bengaluru/Bangalore,Karnataka + 132 more",1 Lakh+ Employees (India)
2407,Capgemini,3.9,(24.3k Reviews),Public,56 years old,Paris + 81 more,1 Lakh+ Employees (India)
2408,Tech Mahindra,3.7,(22.7k Reviews),Public,37 years old,"Pune,Maharashtra + 221 more",1 Lakh+ Employees (India)
2409,Genpact,4.0,(22k Reviews),Public,26 years old,"New York,New York + 75 more",1 Lakh+ Employees (India)
2410,HCLTech,3.8,(21.5k Reviews),Public,32 years old,"Noida,Uttar Pradesh + 147 more",1 Lakh+ Employees (India)
2411,Axis Bank,3.9,(18.6k Reviews),Public,30 years old,"Mumbai,Maharashtra + 1194 more",50k-1 Lakh Employees (India)
2412,Concentrix Corpo...,4.0,(17.4k Reviews),Public,40 years old,"Fremont,California + 77 more",10k-50k Employees (India)
2413,IBM,4.1,(17.3k Reviews),Public,112 years old,"Armonk,New York + 127 more",50k-1 Lakh Employees (India)
2414,Reliance Jio,4.0,(16.8k Reviews),Public,16 years old,"Navi Mumbai,Maharashtra + 1056 more",50k-1 Lakh Employees (India)
2415,Amazon,4.2,(16.6k Reviews),Public,29 years old,"Seattle,Washington + 381 more",1 Lakh+ Employees (India)
2416,Larsen & Toubro ...,4.0,(16k Reviews),Public,85 years old,"Mumbai,Maharashtra + 558 more",1 Lakh+ Employees (India)
2417,HDB Financial Se...,4.0,(15.1k Reviews),Private,16 years old,"Ahmedabad,Gujrat + 859 more",10k-50k Employees (India)
2418,Reliance Retail,4.0,(14.1k Reviews),Private,17 years old,"Navi Mumbai,Maharashtra + 830 more",1 Lakh+ Employees (India)
2419,Vodafone Idea,4.2,(13.9k Reviews),Public,5 years old,"Gandhinagar,Gujrat + 589 more",10k-50k Employees (India)
2420,Teleperformance,3.6,(13.9k Reviews),Private,45 years old,Paris + 127 more,10k-50k Employees (India)
2421,Deloitte,4.0,(11.7k Reviews),Private,178 years old,"London,United Kingdom + 138 more",50k-1 Lakh Employees (India)
2422,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,20 years old,"Mumbai,Maharashtra + 500 more",10k-50k Employees (India)
2423,BYJU'S,3.2,(11.3k Reviews),Private,12 years old,"Bangalore,Karnataka + 282 more",1k-5k Employees (India)
2424,Reliance Industr...,4.0,(11k Reviews),Public,50 years old,"Navi Mumbai,Maharashtra + 557 more",1 Lakh+ Employees (Global)
2425,Bharti Airtel,4.1,(10.3k Reviews),Public,28 years old,"Gurgaon/Gurugram,Haryana + 570 more",10k-50k Employees (India)
2426,Tata Motors,4.2,(9.6k Reviews),Public,78 years old,"Pune,Maharashtra + 401 more",50k-1 Lakh Employees (India)
2427,Flipkart,4.1,(8.3k Reviews),Public,16 years old,"Bangalore,Karnataka + 481 more",10k-50k Employees (India)
2428,WNS,3.6,(8k Reviews),Private,27 years old,"Mumbai,Maharashtra + 25 more",10k-50k Employees (India)
2429,Ernst & Young,3.7,(8k Reviews),Private,21 years old,London + 80 more,10k-50k Employees (India)
2430,TCS,3.8,(59.5k Reviews),Public,55 years old,"Mumbai,Maharashtra + 276 more",1 Lakh+ Employees (India)
2431,Accenture,4.1,(38.1k Reviews),Public,34 years old,Dublin + 139 more,1 Lakh+ Employees (India)
2432,Cognizant,3.9,(34.7k Reviews),Private,29 years old,Teaneck. New Jersey. + 109 more,1 Lakh+ Employees (India)
2433,ICICI Bank,4.0,(28.4k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1150 more",1 Lakh+ Employees (India)
2434,Wipro,3.9,(28.1k Reviews),Public,78 years old,"Bangalore/Bengaluru,Karnataka + 235 more",1 Lakh+ Employees (India)
2435,HDFC Bank,3.9,(27.6k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1380 more",1 Lakh+ Employees (India)
2436,Infosys,3.9,(25.9k Reviews),Public,42 years old,"Bengaluru/Bangalore,Karnataka + 132 more",1 Lakh+ Employees (India)
2437,Capgemini,3.9,(24.3k Reviews),Public,56 years old,Paris + 81 more,1 Lakh+ Employees (India)
2438,Tech Mahindra,3.7,(22.7k Reviews),Public,37 years old,"Pune,Maharashtra + 221 more",1 Lakh+ Employees (India)
2439,Genpact,4.0,(22k Reviews),Public,26 years old,"New York,New York + 75 more",1 Lakh+ Employees (India)
2440,HCLTech,3.8,(21.5k Reviews),Public,32 years old,"Noida,Uttar Pradesh + 147 more",1 Lakh+ Employees (India)
2441,Axis Bank,3.9,(18.6k Reviews),Public,30 years old,"Mumbai,Maharashtra + 1194 more",50k-1 Lakh Employees (India)
2442,Concentrix Corpo...,4.0,(17.4k Reviews),Public,40 years old,"Fremont,California + 77 more",10k-50k Employees (India)
2443,IBM,4.1,(17.3k Reviews),Public,112 years old,"Armonk,New York + 127 more",50k-1 Lakh Employees (India)
2444,Reliance Jio,4.0,(16.8k Reviews),Public,16 years old,"Navi Mumbai,Maharashtra + 1056 more",50k-1 Lakh Employees (India)
2445,Amazon,4.2,(16.6k Reviews),Public,29 years old,"Seattle,Washington + 381 more",1 Lakh+ Employees (India)
2446,Larsen & Toubro ...,4.0,(16k Reviews),Public,85 years old,"Mumbai,Maharashtra + 558 more",1 Lakh+ Employees (India)
2447,HDB Financial Se...,4.0,(15.1k Reviews),Private,16 years old,"Ahmedabad,Gujrat + 859 more",10k-50k Employees (India)
2448,Reliance Retail,4.0,(14.1k Reviews),Private,17 years old,"Navi Mumbai,Maharashtra + 830 more",1 Lakh+ Employees (India)
2449,Vodafone Idea,4.2,(13.9k Reviews),Public,5 years old,"Gandhinagar,Gujrat + 589 more",10k-50k Employees (India)
2450,Teleperformance,3.6,(13.9k Reviews),Private,45 years old,Paris + 127 more,10k-50k Employees (India)
2451,Deloitte,4.0,(11.7k Reviews),Private,178 years old,"London,United Kingdom + 138 more",50k-1 Lakh Employees (India)
2452,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,20 years old,"Mumbai,Maharashtra + 500 more",10k-50k Employees (India)
2453,BYJU'S,3.2,(11.3k Reviews),Private,12 years old,"Bangalore,Karnataka + 282 more",1k-5k Employees (India)
2454,Reliance Industr...,4.0,(11k Reviews),Public,50 years old,"Navi Mumbai,Maharashtra + 557 more",1 Lakh+ Employees (Global)
2455,Bharti Airtel,4.1,(10.3k Reviews),Public,28 years old,"Gurgaon/Gurugram,Haryana + 570 more",10k-50k Employees (India)
2456,Tata Motors,4.2,(9.6k Reviews),Public,78 years old,"Pune,Maharashtra + 401 more",50k-1 Lakh Employees (India)
2457,Flipkart,4.1,(8.3k Reviews),Public,16 years old,"Bangalore,Karnataka + 481 more",10k-50k Employees (India)
2458,WNS,3.6,(8k Reviews),Private,27 years old,"Mumbai,Maharashtra + 25 more",10k-50k Employees (India)
2459,Ernst & Young,3.7,(8k Reviews),Private,21 years old,London + 80 more,10k-50k Employees (India)
2460,TCS,3.8,(59.5k Reviews),Public,55 years old,"Mumbai,Maharashtra + 276 more",1 Lakh+ Employees (India)
2461,Accenture,4.1,(38.1k Reviews),Public,34 years old,Dublin + 139 more,1 Lakh+ Employees (India)
2462,Cognizant,3.9,(34.7k Reviews),Private,29 years old,Teaneck. New Jersey. + 109 more,1 Lakh+ Employees (India)
2463,ICICI Bank,4.0,(28.4k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1150 more",1 Lakh+ Employees (India)
2464,Wipro,3.9,(28.1k Reviews),Public,78 years old,"Bangalore/Bengaluru,Karnataka + 235 more",1 Lakh+ Employees (India)
2465,HDFC Bank,3.9,(27.6k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1380 more",1 Lakh+ Employees (India)
2466,Infosys,3.9,(25.9k Reviews),Public,42 years old,"Bengaluru/Bangalore,Karnataka + 132 more",1 Lakh+ Employees (India)
2467,Capgemini,3.9,(24.3k Reviews),Public,56 years old,Paris + 81 more,1 Lakh+ Employees (India)
2468,Tech Mahindra,3.7,(22.7k Reviews),Public,37 years old,"Pune,Maharashtra + 221 more",1 Lakh+ Employees (India)
2469,Genpact,4.0,(22k Reviews),Public,26 years old,"New York,New York + 75 more",1 Lakh+ Employees (India)
2470,HCLTech,3.8,(21.5k Reviews),Public,32 years old,"Noida,Uttar Pradesh + 147 more",1 Lakh+ Employees (India)
